target,iteration,particle_id,hidden_units,alpha,learning_rate_init,fitness
Initial Setting Time (IST),0,0,20,0.0020731719263694525,0.019404250827669656,24.0001048315567
Initial Setting Time (IST),0,1,19,0.00019166024706981723,0.029069229955640496,28.638632438949482
Initial Setting Time (IST),0,2,20,0.02281355236625612,0.0015565764265126965,30.679411066053923
Initial Setting Time (IST),0,3,14,0.0012953707094821836,0.024555426586822138,25.09011627188599
Initial Setting Time (IST),0,4,18,0.029395769940595316,0.004625101822337392,22.06731505777953
Initial Setting Time (IST),0,5,10,0.0046105672499844215,0.0012465964452993302,40.1778173664468
Initial Setting Time (IST),0,6,21,0.007852233350555963,0.013712972659534289,25.185547247307216
Initial Setting Time (IST),0,7,12,0.08167592716599771,0.02186158682129273,25.841475728549636
Initial Setting Time (IST),0,8,20,0.00038363314625091896,0.005012813020453317,21.625187011489512
Initial Setting Time (IST),0,9,7,0.00029031433196504195,0.010582138220869822,22.62332890685986
Initial Setting Time (IST),0,10,19,0.0798967653877021,0.0030813287578910797,23.1404100395582
Initial Setting Time (IST),0,11,13,0.00256252100402382,0.0019240087315583302,29.78074564596441
Initial Setting Time (IST),0,12,8,0.002673712944665897,0.0021895961641175458,36.36736934174399
Initial Setting Time (IST),0,13,18,0.002048593340612813,0.01774260132484893,23.62006556777296
Initial Setting Time (IST),0,14,19,0.0008651669568208021,0.01771698029282248,23.679675696173963
Initial Setting Time (IST),1,0,20,0.00035589702812140954,0.007843512674985275,21.84129791185092
Initial Setting Time (IST),1,1,19,0.00026232426156461717,0.005517499338303355,21.7938792609601
Initial Setting Time (IST),1,2,20,0.013332760852098068,0.0019145874272624866,26.76329829292532
Initial Setting Time (IST),1,3,23,0.00024668729487458074,0.004633203248772085,22.770232469908404
Initial Setting Time (IST),1,4,19,0.0001,0.005081117498141074,21.72913032489206
Initial Setting Time (IST),1,5,21,0.0008627754171110746,0.002200502982804535,22.930744649685618
