model,feature,mean_abs_shap
RandomForest_IST,Na2SiO3_binder_ratio,6.709113261850594
RandomForest_IST,Na2O_pct,6.60701933015114
RandomForest_IST,water_binder_ratio,5.217479742244208
RandomForest_IST,MS,1.8737457036938314
RandomForest_IST,LS,1.0656960198509866
RandomForest_IST,has_Na2SiO3,0.6639367839554207
RandomForest_IST,Alk_Bi,0.2580133248063485
GradientBoosting_IST,Na2SiO3_binder_ratio,8.124004793442545
GradientBoosting_IST,Na2O_pct,7.9868322970799355
GradientBoosting_IST,LS,2.9557763125228176
GradientBoosting_IST,water_binder_ratio,2.591032247294038
GradientBoosting_IST,MS,1.654041477105915
GradientBoosting_IST,has_Na2SiO3,0.9051230818907229
GradientBoosting_IST,Alk_Bi,0.07039535438818478
HybridStack_IST,water_binder_ratio,22.14640575072612
HybridStack_IST,Na2SiO3_binder_ratio,11.032080975729803
HybridStack_IST,LS,9.034373798918628
HybridStack_IST,MS,6.59350707462192
HybridStack_IST,Na2O_pct,3.536965581451228
HybridStack_IST,has_Na2SiO3,2.594384945990521
HybridStack_IST,Alk_Bi,2.266946923367343
